Host Response Rate,Is Superhost,neighbourhood,Neighborhood Group,City,Postal Code,Country,Property Type,Room Type,Accomodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Guests Included,Min Nights,Reviews,First Review,Last Review,Overall Rating,Accuracy Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Value Rating,Instant Bookable,Business Travel Ready,host_response_time,host_tenure,avg_rating,rating_consistency
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
0%,f,Friedrichshain,Friedrichshain-Kreuzberg,Berlin,10245.0,Germany,Apartment,Private room,2,1.0,1.0,1.0,0.0,59.0,2,5,65,05-23-13,01-02-19,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,0,13.0,9.833333333333334,0.408248290463863
